venue,city,country,eventCount
Jazz Cafe,London,GB,4
"The Grace, London",London,GB,4
Tottenham Hotspur Stadium,London,GB,4
EartH,London,GB,3
O2 Academy Islington,London,GB,3
The Garage,London,GB,3
Electric Ballroom,London,GB,2
Electric Brixton,London,GB,2
Eventim Apollo,London,GB,2
London Oslo,London,GB,2
London The Old Church (Stoke Newington),London,GB,2
Moth Club,London,GB,2
O2 Academy Brixton,London,GB,2
O2 Shepherds Bush Empire,London,GB,2
The Lexington,London,GB,2
The Troubadour,London,GB,2
Village Underground,London,GB,2
100 Club,London,GB,1
Bush Hall,London,GB,1
Colours Hoxton,London,GB,1
Folklore,London,GB,1
Green Note,London,GB,1
New Cross Inn,London,GB,1
O'Neill's Wardour Street,London,GB,1
Roundhouse,London,GB,1
Royal Festival Hall,London,GB,1
St Pancras Old Church,London,GB,1
The Dome London,London,GB,1
The George Tavern,London,GB,1
The Lower Third,London,GB,1
The Victoria,London,GB,1
The Waiting Room,London,GB,1
Troxy,London,GB,1
Union Chapel,London,GB,1
